username,name,followers_count,final_location,count,x_id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
asmashirazi,Asma Shirazi,3598003,Pakistan,1,256556724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
zerohedge,zerohedge,3000585,United States,6,18856867,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0
ShireenMazari1,Shireen Mazari,2443982,Pakistan,4,481156800,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
suhasinih,Suhasini Haidar,1300724,India,1,25966181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shaunking,Shaun King,966771,United States,6,755113,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
TamimBarghouti,Tamim Al-Barghouti,861075,United Kingdom,1,242987073,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
financialjuice,FinancialJuice,807457,United Kingdom,3,381696140,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
PressTV,Press TV 🔻,598867,Iran,1,192547775,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
s_m_marandi,Seyed Mohammad Marandi,562521,Starlink - Iran,17,3170980063,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
alykhansatchu,Aly-Khan Satchu,552212,United Kingdom,2,21303464,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BarakRavid,Barak Ravid,502840,United States,1,302971361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ali_naka,African,494114,Africa,1,338004749,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shahidmasooddr,Dr Shahid Masood,475938,South Asia,1,251060309,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
carlquintanilla,Carl Quintanilla,470406,United States,1,114782468,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
REDBOXINDIA,RedboxGlobal India,432518,India,1,1092883822473920000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LiveSquawk,LiveSquawk,421927,United Kingdom,5,59393368,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0
