username,followers_count,final_location,count,x_id
asmashirazi,3598003,Pakistan,1,256556724
zerohedge,3000585,United States,6,18856867
ShireenMazari1,2443982,Pakistan,4,481156800
suhasinih,1300724,India,1,25966181
shaunking,966771,United States,6,755113
TamimBarghouti,861075,United Kingdom,1,242987073
financialjuice,807457,United Kingdom,3,381696140
PressTV,598867,Iran,1,192547775
s_m_marandi,562521,Starlink - Iran,17,3170980063
alykhansatchu,552212,United Kingdom,2,21303464
BarakRavid,502840,United States,1,302971361
ali_naka,494114,Africa,1,338004749
Shahidmasooddr,475938,South Asia,1,251060309
carlquintanilla,470406,United States,1,114782468
REDBOXINDIA,432518,India,1,1092883822473920000
LiveSquawk,421927,United Kingdom,5,59393368
JavierBlas,392184,United Kingdom,4,1647573157
NachoRgz,389601,Mexico,2,68723105
barnes_law,368114,United States,1,2301990517
zei_squirrel,347220,North America,1,2786053933
ShamaJunejo,337568,United Kingdom,8,62784626
GeromanAT,334973,Austria,6,3373146857
fpleitgenCNN,334364,Germany,2,23572083
Sentletse,326031,South Africa,2,40548465
Meteo1970,286765,Italy,2,278469423
Zeinobia,285522,Egypt,2,608583
Ayadjamaladdin,281629,United States,1,2460048277
AliAbunimah,277249,United States,1,16799023
SaraMirGilgity,271480,Europe,6,1514302511951360000
RealPepeEscobar,259803,Thailand,3,1435906191373180000
timand2037,257731,Australia,1,56575418
lookner,250098,United States,1,51661036
M_Boynukalin,247794,Turkey,1,1313017448199850000
Abdlgni_AZubidi,239769,United States,1,1233096893116420000
upholdreality,231712,Puerto Rico,1,1076661635819940000
MenchOsint,225634,Europe,1,1560062743604070000
Bandarhetar,222629,Yemen,1,1349163806937780000
propandco,220700,Sweden,2,1373746318141750000
kamalsharf,219328,Yemen,1,83337347
fatih_yasli,216629,Turkey,1,409568623
omidmollaye_,215832,West Asia,1,1059508906530140000
IrnaEnglish,214360,Iran,6,813279088865645000
ArmedForcesIR09,210237,South Asia,1,1448021957832860000
AHLULBAYT_TV,209055,Web VPN Iraq,8,141618604
TadhgHickey,203012,Ireland,1,310418420
EndGameWW3,202660,United States,1,32792712
ejmalrai,194257,Europe,1,2263105532
PierreABISAAB,191393,Lebanon,1,1327775185
IraninSA,184030,South Africa,1,916586719692116000
mikelayestaran,181837,Spain,1,50908485
famil2r,175706,Iran,5,1216399328857790000
rockfish31,159947,Japan,2,234201183
NetworksManager,158100,United States,16,115681686
OkwasiaBiNti,157389,Ghana,1,1148892682732930000
MazMHussain,156018,United States,1,84816752
MonaTahini,152209,Lebanon,1,884504995487470000
PravinSawhney,152047,India,1,416882361
saeedthabit,151459,West Asia,1,301611077
BusaidiNaser,148791,West Asia,1,1578353491
SpecialSitsNews,144144,Europe,1,1242122660500380000
Aakar__Patel,144069,India,1,3769060167
qcCultural,142830,Portugal,2,15896379
Zabayar,137723,Venezuela,2,548095877
hasanahmadian,133911,Qatar,1,292162056
dunya20101,133835,Turkey,1,1337342689
Tasnimnews_EN,133573,Iran,1,1699037857
BBCKasraNaji,132504,United Kingdom,5,322810914
2E+92,129011,North Africa,6,416659578
hussein_alamlhi,127647,Yemen,4,3135471330
mmohammadii61,123519,Iran,4,4704895717
h0d3r_fa,123273,United Kingdom,1,4897803268
staunovo,120044,Switzerland,2,597517815
agha_mohamad1_,118296,Iran - VPN,1,952105834443506000
alhasanitaleb,117562,Yemen,1,1088212313348420000
PaliNewsNetwork,111604,United States,1,1805949990990220000
sashna111,108695,United States,1,2839514211
ALI_HASHIM_313A,104470,West Asia,18,1361242945609990000
TurgayEvren1,103986,Turkey,8,373854815
smahmoodrazavi,103364,Iran,17,785373238964675000
WW3_Monitor,98187,United States,1,1447734156843230000
AlinaSalazarG,97259,Mexico,3,103161101
Mo_elmalik,95832,Sudan,1,447690590
RunnerXBT,94956,Europe,1,5705402
IRNA_1313,94566,Iran,7,779677145014600000
HRA80,94376,Iran,3,799013603475124000
dimitrilascaris,93186,Greece,1,214708464
apocalypseos,92735,North America,15,1231059979844460000
AlanEyre1,92359,United States,3,297884368
IranMilitaryEN,90842,Iran,2,1936640442335970000
Iran_in_India,90512,,2,1024869059945540000
hasanunal1920,88004,Turkey,1,958781575180816000
21stcentury_ML,87034,North America,1,266843515
Khandoozi_se,86164,Iran,1,1163413616974070000
m_Khalili93,84707,Iran,2,1144562483593670000
Phastidio,84620,Italy,1,17028890
jalilmoheby,84150,West Asia,3,860947489515614000
ItsTheEnforcer,78616,United States,4,1498770389010430000
HussainShafiei,78364,United Kingdom,2,1356159033019920000
JohnKicklighter,78103,Web VPN United States,1,22973017
LeonXXI_MX,77839,Mexico,1,55047147
Navsteva,77560,United States,8,435260935
sidraakuser,77416,Pakistan,17,1357222295459230000
Asamoh_,76889,Kenya,3,506956991
EnglishFars,76872,Iran,1,1829301998
BrexitFx,76052,Africa,1,776076168
Smita_Sharma,75874,India,1,74977930
boubou_le_prof,75545,Turkey,1,701477160549274000
ali_ahmadnia,74221,Australia,1,1097842159
alihmourad,74199,Lebanon,1,837708103
Mobtala_n,74020,Iran,1,1406681885376500000
CallaWalsh,72989,North America,1,1088232459844700000
s_k_sh,72879,Iran,10,215741796
BalochNadir5,72117,Pakistan,1,844967300
DrAhmedKalebi,71343,Kenya,1,4610065936
TheNavroopSingh,71146,India,8,313385516
Manal_Abdelaal,69704,Egypt,2,240846267
hoflolz,69442,United States,1,55544099
itxhamza480,69417,South Asia,1,1412072774923920000
AkimotoThn,69011,Japan,1,1557991538839680000
Shirvani_moh,68565,West Asia,3,1066752647162670000
crushtheracists,66610,Europe,1,1032230101050690000
malekshariati,66453,Iran,5,1208092430123230000
vahabzadeh_ali,65597,West Asia,2,748488389050114000
iribnews_irib,64941,Iran,3,1663061403232530000
kanyicool,64772,Kenya,1,34937511
m_ghanavatii,64604,Iran,2,1393175257385730000
OndoboGreg,64501,Canada,1,1411950380053830000
drpezeshkian2,64354,VPN - Iran,11,1698109875174180000
ahmedyassine30,62480,Lebanon,1,709645469312541000
Ollie_Vargas_,61484,China,1,195306655
dubalh,61090,Turkey,1,542693350
BangouraKhame,60675,Africa,2,1936884649
anim3223,60070,VPN - Iran,3,952453705
Kathleen_Tyson_,59547,United Kingdom,1,1514536620762050000
A_Aljermozi0,59429,West Asia,6,707267097374671000
alishamkhani_ir,58274,Iran,8,1222899045133240000
rifain_nouvelle,57439,Europe,1,1255908980523750000
RodriguezManuel,56782,Chile,1,32159476
BluesignV,56450,West Asia,1,1485983569
EyesOnSouth1,56260,Lebanon,1,1677232414043560000
QuatrinaHosain,55811,Pakistan,1,473672864
ohmahahm,55760,Korea,1,955192716
WaelEssam77,55524,Europe,1,524467582
Maimonah_313,54894,West Asia,2,952878425135514000
MalaikaSRaza,54442,Pakistan,1,98519038
artedaguerracnl,52782,Brazil,1,4819756024
BiLLYKHAERUDIN,52501,Indonesia,3,49383672
MuhamadAfzalECP,52000,Pakistan,1,954158240
berningman16,51691,United States,2,4869905412
will_pulido,51309,Spain,1,3145777389
tleilax___,50846,Switzerland,1,495241382
HajAhmad128,50580,West Asia,3,1214820417464100000
themiamivoice,49673,United States,1,2265048648
IraninJapan,49196,Japan,5,1024209796193380000
amalsaad_lb,48915,United Kingdom,2,919245692350157000
HouseCracka,47813,United States,1,16190478
yas4748,47671,VPN - Iran,1,1350131164242210000
roqchams,47588,Lebanon,2,55997506
Minarashidi66,47539,Iran,4,1415344922060800000
PrepperCanadian,45985,Canada,1,3049075843
safiALshami,45556,Yemen,4,3476807412
AWSALZUBAIDI,45356,Iraq,2,1885783898
OwaisTohid,45037,Pakistan,1,306422689
Abdul_Majid33,44858,West Asia,4,1266012764109260000
SAMOUSAVI9,44643,Iran,3,1066253827194740000
SurvivingMyWay,44476,United States,1,220186384
theskibeagle,44474,Ireland,1,15916118
aishamusic,44420,United States,1,60110252
sarnchos,44301,Nigeria,17,943913254321041000
mahmuod313,43848,Iran,1,1263941778870120000
hahellyer,43825,Egypt,1,250603308
AnisSholehB,43256,Indonesia,3,63164235
ishakaa,43247,United States,1,186809279
jisatu01,43239,Indonesia,2,234628519
qaizimi,43143,Southeast Asia,1,1097076744
hydrah1444,42918,Yemen,1,463193964
MomodouTaal,42316,North Africa,1,36511308
Ntsetsana,42284,South Africa,1,112096792
Persianserene1,42144,Iran,3,1282352242989790000
KimiaMozafarian,41755,West Asia,2,1182559483958090000
ComptonMadeMe,41617,United States,6,162216577
Vidyut,41226,India,2,15199808
karaokecomputer,40304,United States,4,47799986
jose04152,40212,South America,4,1429271115394920000
Nazmadiny_4988,39822,Iran,1,1340502316382900000
rawanenasser,39497,Lebanon,3,1638642535
A7_Mirza,39449,West Asia,4,2848841210
barbaraslavin1,39335,United States,2,49702592
nationaljuche,39054,Web VPN Hong Kong,1,1721906636280000000
IraninHyderabad,38998,,3,1059770033897860000
IranEmbassyLB,38763,Lebanon,1,1043417748964030000
SammerAbbas,38623,Pakistan,1,72059802
Fateme07005731,38560,Iran,3,1247454111349350000
BPSPro,38511,United States,6,43444862
Aly_jezzini,38495,Lebanon,3,162328871
JonesHowDareYou,38494,Australia,1,198296897
B_O_B_B_Y,38069,United States,5,21434432
vefaghemelli,37702,Iran,6,1527749620159370000
DarnelSugarfoo,37220,United States,2,936238338356404000
MahdiFinizadeh,36949,VPN - Iran,1,1100935095999960000
xagreat,36784,Africa,1,522681410
validsource20,36748,VPN - Iran,2,1512887380184860000
AjAqrabawi,36564,West Asia,2,1198403645504540000
Armaiss,36448,West Asia,10,890527765748961000
dina_sulaeman,36104,Indonesia,1,1490536743137090000
GeorgeCharamba2,35956,United Kingdom,1,1498796523446060000
MehdiKharratya,35681,Iran,2,86962865
MaloneySuzanne,35616,United States,1,480678403
lambahamra,35458,Lebanon,1,830148894822658000
2B7C89526,35072,North America,6,895975071746974000
TovarichDelSur,34963,Argentina,2,1410668860479520000
xysist,34913,Kenya,1,1261246086
Dropz11,34797,United States,1,129910332
Ahmadnaderi_ir,34599,Iran,2,1228699303306290000
zburki,33945,Pakistan,1,20039147
franktianxie,33746,United States,1,35895270
salahbabgi,33516,Turkey,1,234614627
Admfdlwzer,32977,Yemen,1,1702689871
JJKALE2,32623,Australia,1,1054893957652430000
SKhatibzadeh,32426,Iran,2,3131334417
17jordani,32250,Spain,4,353903008
onthishillwedie,32200,United Kingdom,1,1330266621810780000
chronicalihere,32119,Canada,1,590469590
prolter995,31964,West Asia,1,1319265798574270000
raziakkhan,31847,United Kingdom,7,474359398
FrontierArt1,31706,United States,5,1175570374542550000
Whois_ImamMahdi,31688,Iran,1,1213851491477280000
MizanNewsAgency,31595,Iran,2,762215055995859000
NadaAndersen,31556,Uganda,1,54001655
SyedRezaMehdi,31522,Pakistan,1,378541306
ensiehmosavi,31375,West Asia,1,1434457217974120000
38divan,31282,Turkey,2,743089127273464000
eleconomics,31219,Japan,1,957588969562108000
NicoleGrajewski,31189,United States,1,2677769250
dana916,31170,United States,9,287424432
FaiziWithKhan,31147,South Asia,2,1434741161541920000
GhrftM95810,30981,West Asia,1,2032981419585320000
Meer_PPP_,30907,Pakistan,9,1247980466747010000
AuctionMirza570,30729,United States,1,1489815480441490000
IiZeina,30704,Lebanon,1,1602023425123440000
ObaiCJ,30661,West Asia,1,211855105
Inkosana_,30592,Mozambique,1,1201877856625800000
hubofintel,30551,South Asia,1,1484964638618190000
Ameen_media,30108,United States,3,15622605
DavidLe76335983,30071,United States,1,947653420260901000
_haye_,30028,Indonesia,7,753553855
kochar_ir,29820,Iran,2,1342397346836070000
Morteza_Avini,29702,United Kingdom,1,1380611395180450000
CoteAndre2,29394,Canada,2,1044670685883380000
KLovesNature,29353,Canada,3,119605179
talaye73877,29337,Iran,5,1269736466831350000
bonzerbarry,29048,United States,1,1312893412031560000
johnhussainpres,28954,VPN - Iran,6,1935810962566580000
DmodosCutter,28877,United Kingdom,3,1243679597729910000
ScottishCommie,28854,Europe,1,1293316998429050000
vjeannek,28845,United States,1,312848382
imambakirukus,28704,Turkey,2,302012522
firasmodad,28686,United Kingdom,1,1600059128986170000
farbodebrahimi5,28674,VPN - Iran,8,1141636917320200000
SagalAshour,28602,Europe,1,992894084
DickTugging,28549,United Kingdom,1,1234220435753070000
ANDREW_FDWT,28521,China,2,101456274
Agyptensohn,28501,Egypt,1,1567991288
MainlandAfrica,28405,Web VPN South Africa,1,1555176707287650000
alCamel77,28273,Europe,2,1495008357756950000
zainaconda,28206,Pakistan,12,509176871
Piyusaja2,27992,Indonesia,1,1610273431454630000
Ruhollahnejabat,27944,Iran,1,1205087602321380000
Bahar__Saadatt,27882,Iran,1,1397429665401350000
VigilantesV,27781,Mexico,2,893977932
mosbatboy,27610,Iran,1,68650887
shaabiranks,27449,United States,2,1238525394418100000
SomalisVoices,26930,Europe,2,309659027
DonTarantino_,26858,Sudan,1,2189957188
yamahdy_ma,26809,Iran,1,1215617272427040000
TheMarketDog,26756,Netherlands,3,1295542454867750000
Rezhasan,26676,India,1,113415132
fahadq801,26657,North America,2,1288205596324500000
korkmaanlat,26498,Netherlands,1,585765106
Moslehi_m_m,26440,West Asia,10,1246421846817470000
sehsanhosseini,26290,Iran,1,911124019847549000
AAlwishe,26237,North Africa,1,4486485741
RameshPV2010,26194,South Asia,1,161055868
AmiinMosavii94,26135,VPN - Iran,3,1150351271737600000
IRANinMAZAR,26089,,1,1068732830031770000
Ya_Fatemeh_113,26008,Iran,9,1286766002764740000
karimshami1,25986,Yemen,4,3137891515
spedroza_12,25830,Mexico,1,134013272
santosbyamu,25799,United States,1,1422910591589550000
A_moshlab,25631,West Asia,1,1289898615733970000
IranmissionEU,25451,,1,1026210338281320000
OPVoters,25436,Australia,2,970818623555092000
Narjes_Rahmati,25420,United States,16,1805333100735740000
SIDRAIM42094220,25352,United Arab Emirates,2,1620487100142330000
yilmaz_mesut,25346,Turkey,5,73604923
SpanishDan1,25284,Spain,7,952885954657816000
_cl59_P,25089,West Asia,2,774300527249203000
hhundubey,25085,Kenya,1,1176796897299900000
nikhil_palsingh,25064,United States,1,395283583
DwrFamyl,24976,Iran,1,1478366187230790000
Crussian17,24894,United States,1,563035061
AmirT_HK,24772,Iran,2,1530913813050150000
FatemeMohebbi,24716,West Asia,8,890845848933986000
Shinamuller,24513,Germany,1,426716104
OsamaYe21,24513,Yemen,1,4194123741
MazenMahdi,24280,Bahrain,1,38265398
mali2335,24137,Turkey,1,1225856863
frknasir,24036,Africa,2,1512870561428480000
MerciKhodaya,23896,Iran,4,1242034041618040000
FrameTheGlobe,23798,United States,1,1589077434439290000
political_aya__,23735,Lebanon,1,1657754323441320000
Doovare_Loor,23674,West Asia,4,1318817909708370000
edwardblk,23657,Maldives,3,585367673
manaamini1369,23589,West Asia,2,1332349625446110000
justinpodur,23426,Canada,5,89487180
moetkacik,23404,United States,1,25003152
EbrahimRezaei14,23312,Iran,1,997394518826803000
Karanimutonga,23184,Kenya,1,35768011
NimaTavRood,23171,Sweden,3,707993807
mhcz128,23034,Iran,16,893224400006283000
UrOrientalist,22910,Canada,2,965447030456844000
fa_abv,22854,VPN - Iran,1,1080737115753850000
yazdanparast313,22769,VPN - Iran,3,918806712995348000
_NOMICS,22716,United Kingdom,2,1032556359739430000
Gaamuk,22536,India,1,38649374
IzkMohbi,22535,Iran,4,1315509299272190000
decolonize_this,22437,United States,9,770310096228417000
