username,followers_count,final_location,count
asmashirazi,3598003,Pakistan,1
zerohedge,3000585,United States,6
ShireenMazari1,2443982,Pakistan,4
suhasinih,1300724,India,1
shaunking,966771,United States,6
TamimBarghouti,861075,United Kingdom,1
financialjuice,807457,United Kingdom,3
PressTV,598867,Iran,1
s_m_marandi,562521,Starlink - Iran,17
alykhansatchu,552212,United Kingdom,2
BarakRavid,502840,United States,1
ali_naka,494114,Africa,1
Shahidmasooddr,475938,South Asia,1
carlquintanilla,470406,United States,1
REDBOXINDIA,432518,India,1
LiveSquawk,421927,United Kingdom,5
JavierBlas,392184,United Kingdom,4
NachoRgz,389601,Mexico,2
barnes_law,368114,United States,1
zei_squirrel,347220,North America,1
ShamaJunejo,337568,United Kingdom,8
GeromanAT,334973,Austria,6
fpleitgenCNN,334364,Germany,2
Sentletse,326031,South Africa,2
Meteo1970,286765,Italy,2
Zeinobia,285522,Egypt,2
Ayadjamaladdin,281629,United States,1
AliAbunimah,277249,United States,1
SaraMirGilgity,271480,Europe,6
RealPepeEscobar,259803,Thailand,3
timand2037,257731,Australia,1
lookner,250098,United States,1
M_Boynukalin,247794,Turkey,1
Abdlgni_AZubidi,239769,United States,1
upholdreality,231712,Puerto Rico,1
MenchOsint,225634,Europe,1
Bandarhetar,222629,Yemen,1
propandco,220700,Sweden,2
kamalsharf,219328,Yemen,1
fatih_yasli,216629,Turkey,1
omidmollaye_,215832,West Asia,1
IrnaEnglish,214360,Iran,6
ArmedForcesIR09,210237,South Asia,1
AHLULBAYT_TV,209055,Web VPN Iraq,8
TadhgHickey,203012,Ireland,1
EndGameWW3,202660,United States,1
ejmalrai,194257,Europe,1
PierreABISAAB,191393,Lebanon,1
IraninSA,184030,South Africa,1
mikelayestaran,181837,Spain,1
famil2r,175706,Iran,5
rockfish31,159947,Japan,2
NetworksManager,158100,United States,16
OkwasiaBiNti,157389,Ghana,1
MazMHussain,156018,United States,1
MonaTahini,152209,Lebanon,1
PravinSawhney,152047,India,1
saeedthabit,151459,West Asia,1
