Row,username,Total,T1,T2,quote_farsi,quote_english,T3,T4,T5,T6,T7,T8,T9,T10,T11
1,000Terminator,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,010101abba,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0208raz,2,1,0,0,0,0,0,0,0,0,0,1,0,0
4,061Mafi,3,1,0,0,0,0,0,0,0,0,0,1,0,1
5,07f80922e47b4e1,5,0,1,0,0,0,0,0,1,1,1,1,0,0
6,09Ariii09,2,1,1,0,0,0,0,0,0,0,0,0,0,0
7,0jgl6L5OK3c6Lgi,3,1,0,0,0,1,0,0,0,1,0,0,0,0
8,1315532129,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0xbbk,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,10motori,6,1,1,0,0,1,1,0,1,1,0,0,0,0
11,1401Persia,2,0,1,0,0,0,0,0,0,0,0,0,0,1
12,16diamond,6,1,1,0,0,1,0,0,0,1,0,1,0,1
13,1806_b,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,1970bb,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,1985_2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,1990genie,4,0,1,0,0,0,0,0,0,0,1,0,1,1
17,19TEHRAN91,11,1,1,0,0,1,1,1,1,1,1,1,1,1
18,1IranianNation,2,1,0,0,0,1,0,0,0,0,0,0,0,0
19,1kingreza,3,1,0,1,0,0,0,0,0,1,0,1,0,0
20,1onehundred,8,1,1,0,0,0,0,0,1,1,1,1,1,1
21,1u1I1Y2jgembNan,7,1,1,0,0,0,0,0,1,1,1,0,1,1
22,2022Shab,3,1,1,0,0,0,0,0,0,0,0,0,0,1
23,20mahdis,5,1,0,0,0,1,1,0,0,1,1,0,0,0
24,21carizmaa,7,1,0,0,0,0,1,0,1,1,1,1,1,0
25,22465811,11,1,1,0,0,1,1,1,1,1,1,1,1,1
26,24Fbm67467,3,1,0,0,0,1,0,0,0,0,0,0,0,1
27,2906ro,7,1,1,0,0,1,0,0,0,1,1,1,0,1
28,2GoGreen20,3,1,0,0,0,0,0,0,0,1,1,0,0,0
29,2Panteaa,3,1,0,0,0,1,0,0,1,0,0,0,0,0
30,30Morgh4,9,1,1,0,0,1,1,1,0,0,1,1,1,1
31,30morg_org,4,1,1,0,0,1,0,0,0,0,1,0,0,0
32,3alvatore,7,1,0,0,0,0,0,1,1,1,1,1,1,0
33,3u67gqLily,8,1,0,0,0,1,0,0,1,1,1,1,1,1
34,40sotoon4,10,1,1,0,0,1,1,0,1,1,1,1,1,1
35,47thIsTheEnd,4,0,1,0,0,0,0,0,1,1,1,0,0,0
36,4CKIUI,11,1,1,0,0,1,1,1,1,1,1,1,1,1
37,4WomLifeFreeDom,8,0,1,0,0,1,0,1,1,1,0,1,1,1
38,4irann,4,1,0,0,0,0,1,0,0,0,0,1,0,1
39,4mirIran,4,1,1,0,0,1,0,0,1,0,0,0,0,0
40,4th_decade,6,0,1,0,0,1,0,0,1,1,0,1,1,0
41,4udr3Y00,1,1,0,0,0,0,0,0,0,0,0,0,0,0
42,598_121,1,1,0,0,0,0,0,0,0,0,0,0,0,0
43,5kyh7,2,0,1,0,0,0,0,0,0,1,0,0,0,0
44,67644s,4,1,1,0,0,1,0,0,0,0,0,0,0,1
45,6869Yazmani,6,1,1,0,0,1,0,0,0,1,0,1,1,0
46,69Tardigrade,1,1,0,0,0,0,0,0,0,0,0,0,0,0
47,69lmaoo,5,1,1,0,0,1,0,0,0,1,0,1,0,0
48,77mehrdad77,6,1,0,0,0,1,1,0,0,0,1,1,1,0
49,7_salamoon,5,1,1,0,0,0,0,0,1,1,0,1,0,0
50,888_being,4,1,0,0,0,1,0,1,0,0,0,0,0,1
51,96_95_89,11,1,1,0,0,1,1,1,1,1,1,1,1,1
52,98ABAN98,5,0,1,0,0,1,1,0,1,1,0,0,0,0
53,9Ladan9,2,1,0,0,0,0,0,0,0,0,0,1,0,0
54,A09GHD,2,1,0,0,0,0,0,0,0,0,0,0,1,0
55,A212158,7,1,1,0,0,0,0,0,1,1,1,1,1,0
