No.,username,Link to profile,name,x_id
1,0xPolox,X.com/0xPolox,Polo 🎒,1587474168060190000
2,11021Siamak,X.com/11021Siamak,سیامک شهداد 🎒,704537621893091000
3,1366Hani,X.com/1366Hani,🎒t.m,1593329851402010000
4,15Reza50,X.com/15Reza50,Reza🎒🟩☫🟥,1355490775774220000
5,1986javaheri,X.com/1986javaheri,المقاومة🎒,1748667179019510000
6,1alipointe,X.com/1alipointe,destek🎒,1554523440794820000
7,1theone123,X.com/1theone123,Iranwillprevail🎒,2007085185482000000
8,21_century_man2,X.com/21_century_man2,hello my enemies 👋ایران❤️🎒,3103460621
9,27Par27,X.com/27Par27,Paris ☫🎒,1462715408717430000
10,28Ostad,X.com/28Ostad,🎒 ᴀᴍɪʀ'ʜ²⁸🌙,1442842010294050000
11,2m4life,X.com/2m4life,Majid ☫ 🎒,1301682747380050000
12,3rdwayNewgen,X.com/3rdwayNewgen,🎒افشاگر اینه (ابراهیمی),1976228129472740000
13,7Hadilou,X.com/7Hadilou,🎒معمار,2472389124
14,8qo2M8In4A3096,X.com/8qo2M8In4A3096,大熊猫🍉🎒,1675417280774300000
15,93Judge,X.com/93Judge,Mojtaba 🎒,1124585403393160000
16,AANassir1,X.com/AANassir1,A. A. Nassir 🎒,1433432443231490000
17,AMokhtarpour,X.com/AMokhtarpour,🎒☫Arman Mokhtar /آرمان مختار,1690612032
18,AScbzgtp,X.com/AScbzgtp,جان فدای ایران 🎒,1540606795705630000
19,ATENA_1630,X.com/ATENA_1630,مینا🎒,1852918714624250000
20,AYPAKMUSLIM,X.com/AYPAKMUSLIM,AY 🎒🇵🇸۞🔻🥄🍉,2759890094
21,A_CH64,X.com/A_CH64,Alireza Ch 🎒,926900694669496000
22,A_t_i__e,X.com/A_t_i__e,عطیــه 🎒🏴,1813135907102260000
23,Abu_Reyhan96,X.com/Abu_Reyhan96,سید اولاد پیغمبر🎒,1263924576226030000
24,AcientMind,X.com/AcientMind,ZoreA🎒,1232573398695510000
25,Adolfin1234567,X.com/Adolfin1234567,🎒 آدلفین 🐬,558997062
26,Advanced_Iran,X.com/Advanced_Iran,The I r a n i a n 🎒,1645861221495720000
27,Ah_Haghi,X.com/Ah_Haghi,Amirhossein Haghi 🎒,1213043153361460000
28,Ajameirani118,X.com/Ajameirani118,ناشناس🎒,1898917560801700000
29,AleRaza15,X.com/AleRaza15,Ale Raza 🎒,174333787
30,AlexMalejewicz,X.com/AlexMalejewicz,The Alex Malejewicz Project 🇷🇺🎒,478143027
31,AliZaarei,X.com/AliZaarei,علی زارعی | Ali Zaarei🎒,598241376
32,Ali_MD119,X.com/Ali_MD119,Ali.MD🎒,1519352765474030000
33,Ali_Moradi1999,X.com/Ali_Moradi1999,Ali Moradi🎒,1274663097706450000
34,Ali_mari205,X.com/Ali_mari205,مهندس عمار🎒,1872641894615780000
35,Alighamkhar2,X.com/Alighamkhar2,علی,1040007875119250000
36,Alimt1984,X.com/Alimt1984,Ali 🎒,1810474746418780000
37,AlkatrasTulipa,X.com/AlkatrasTulipa,tulipa🎒,2050946619198340000
38,Alnur_ir1,X.com/Alnur_ir1,🎒,1704615241533750000
39,Amin_Hedayat57,X.com/Amin_Hedayat57,🎒 امين هدايت,835061554076860000
40,Amir0sharifi,X.com/Amir0sharifi,Amir Sh🎒,875722335449489000
41,Amir46170972,X.com/Amir46170972,فاطیما 🎒,1156850197911230000
42,AmirChizari,X.com/AmirChizari,امير چيذري 🎒,802401515608670000
43,AmirMohajer,X.com/AmirMohajer,امير مهاجر 🎒,405011334
44,AmirNaderifard,X.com/AmirNaderifard,🎒Amir Naderifard,1392966833591000000
45,AmirThePunk,X.com/AmirThePunk,Amir🎒,1826400019362000000
46,Amiralit3rh,X.com/Amiralit3rh,ببر🎒,2060359378570510000
47,AmirhoseinInrs,X.com/AmirhoseinInrs,🟥,1616561872915910000
48,AmirrezaMoafian,X.com/AmirrezaMoafian,☫AmirReza Moafian🎒,1339437892742080000
