username,connected_via,account_based_in
ShafiqueQasim,Pakistan Android App,Pakistan
raymonddelauney,United Kingdom App Store,United Kingdom
Dr_KayvanSaedy,United States App Store,Iran
IRANinBRUNEI,Web,Brunei Darussalam
MacJuanma,Spain Android App,Spain
whereangelsdare,Pakistan Android App,Pakistan
edris_vahdat666,Iran Android App,Germany
don_vulpine,India Android App,India
tchemtcem,Web,France
resistance7771,United Kingdom App Store,United Kingdom
VickiewWest,United Kingdom App Store,United Kingdom
S_U_Dikko,Nigeria App Store,Nigeria
Kimia451513,Iran Android App,Iran
Moh4mmd,Iran Android App,Iran
Moradian_ir,Denmark App Store,Hungary
mdmdn49015232,Yemen Android App,Yemen
SelbagD,United States App Store,United States
shahendahawary,United States App Store,Egypt
BBC_WorId,South Asia App Store,South Asia
AlecsGlez,Mexico Android App,Mexico
cjeewa,South Africa App Store,South Africa
notintrestedb,United States App Store,United States
SunilKumarAus,United States App Store,United States
hh__dd40,Iraq Android App,Iraq
Ya_zahra90,Germany Android App,Iran
mashroteh_khah,Iran Android App,Iran
SChenHayes,United States App Store,United States
LACryptoDoctor,United States App Store,United States
simbalkh,Pakistan App Store,Pakistan
ShreoshiB,India Android App,India
Vendetta_110,South Asia Android App,South Asia
6140POEM,Korea App Store,Korea
Amirkurd1386,Iran Android App,Iran
AliRazaSays_,Pakistan Android App,Pakistan
david_fairn,Canada Android App,Canada
RosanneMil3145,Web,United States
TheFlying_Goat,Uganda Android App,Uganda
SarahhFadel18,Lebanon App Store,Lebanon
jad_bitar64,Lebanon Android App,Lebanon
ToobaOkhravi,United States App Store,Germany
ChubbyRoots,Web,Viet Nam
TheEvilGenius3,United Kingdom Android App,United Kingdom
enio_mori,Iran Android App,Germany
CasaChichi,United States App Store,United States
McIslamofobia,Spain Android App,Spain
marypgkeating,Ireland Android App,Ireland
Marypgkeating,Ireland Android App,Ireland
mostafahamedi_y,West Asia Android App,West Asia
IRANinBiH,United States App Store,Bosnia and Herzegovina
Catherine022877,Germany App Store,Germany
DrIftilharR,Canada App Store,Canada
afropessimistic,United States App Store,United States
msianputeri,Malaysia Android App,Malaysia
